set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
103,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,96,96,182.9500000000,182.9500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
104,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,68,68,112.4600000000,112.4600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
105,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,77,77,196.5800000000,196.5800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
106,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,83,83,114.6500000000,114.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
107,25,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,83,83,107.0900000000,107.0900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
108,25,10,static,weighted_tardy_jobs,6.2800000000,5.4900000000,12.579618,89,89,176.1900000000,181.8500000000,65.8200000000,60.2900000000,6.2800000000,5.4900000000
109,25,10,static,weighted_tardy_jobs,0.9300000000,0.9300000000,0.000000,74,74,97.3900000000,97.3900000000,4.8000000000,4.8000000000,0.9300000000,0.9300000000
110,50,10,static,weighted_tardy_jobs,0.0600000000,0.0600000000,0.000000,145,145,275.0700000000,275.0700000000,0.3000000000,0.3000000000,0.0600000000,0.0600000000
111,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,181,181,255.4700000000,255.4700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
112,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,143,143,363.7100000000,363.7100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
113,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,151,151,235.9800000000,235.9800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
114,50,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,139,139,241.8600000000,241.8600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
115,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,269,269,632.8600000000,632.8600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
116,100,10,static,weighted_tardy_jobs,0.7000000000,0.0000000000,100.000000,266,266,650.1000000000,697.6700000000,7.7000000000,0.0000000000,0.7000000000,0.0000000000
117,100,10,static,weighted_tardy_jobs,3.3200000000,2.5300000000,23.795181,277,376,659.7900000000,812.9900000000,36.4800000000,26.3900000000,3.3200000000,2.5300000000
118,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,272,272,647.5900000000,647.5900000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
119,100,10,static,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,287,287,581.4500000000,581.4500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
