set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
81,25,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,40.947,96,96,104.8300000000,104.8300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
82,25,10,static,weighted_tardiness,50.2900000000,33.1300000000,34.122092,39.885,94,74,151.0800000000,133.9200000000,50.2900000000,33.1300000000,6.8100000000,6.0600000000
83,25,10,static,weighted_tardiness,3.2400000000,0.0000000000,100.000000,40.562,102,84,188.0700000000,271.6000000000,3.2400000000,0.0000000000,0.5400000000,0.0000000000
84,25,10,static,weighted_tardiness,71.9400000000,71.2300000000,0.986934,39.629,104,104,176.9700000000,192.5100000000,71.9400000000,71.2300000000,3.6100000000,3.6100000000
85,25,10,static,weighted_tardiness,3.6000000000,3.6000000000,0.000000,40.498,96,96,146.4000000000,146.4000000000,3.6000000000,3.6000000000,0.6000000000,0.6000000000
86,25,10,static,weighted_tardiness,12.9800000000,0.0000000000,100.000000,40.683,99,101,226.8500000000,225.3700000000,12.9800000000,0.0000000000,1.5000000000,0.0000000000
87,25,10,static,weighted_tardiness,40.6300000000,35.7300000000,12.060054,40.801,100,100,176.1800000000,166.7200000000,40.6300000000,35.7300000000,1.6800000000,1.6800000000
88,25,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,41.038,71,71,114.4100000000,114.4100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
89,25,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,40.938,91,91,116.0800000000,116.0800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
90,50,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,135.904,153,153,323.6500000000,323.6500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
91,50,10,static,weighted_tardiness,44.7300000000,39.9400000000,10.708697,133.828,153,153,358.3700000000,383.2200000000,44.7300000000,39.9400000000,5.9400000000,5.9400000000
92,50,10,static,weighted_tardiness,0.0000000000,0.0000000000,0.000000,139.338,146,146,318.1300000000,318.1300000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
93,50,10,static,weighted_tardiness,61.8200000000,45.0300000000,27.159495,163.861,139,139,338.8600000000,372.6900000000,61.8200000000,45.0300000000,3.7000000000,3.9700000000
