set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
96,100,10,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,347,347,1518.8400000000,1518.8400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
97,100,10,dynamic,weighted_tardy_jobs,0.5500000000,0.0000000000,100.000000,321,294,1225.6100000000,1183.4700000000,1.6500000000,0.0000000000,0.5500000000,0.0000000000
98,100,10,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,332,332,1367.9800000000,1367.9800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
99,100,10,dynamic,weighted_tardy_jobs,10.9800000000,10.5700000000,3.734062,309,326,1579.2800000000,1630.5200000000,236.7800000000,251.2900000000,10.9800000000,10.5700000000
100,25,10,dynamic,weighted_tardy_jobs,9.0500000000,9.0500000000,0.000000,122,122,374.6200000000,374.6200000000,234.7300000000,234.7300000000,9.0500000000,9.0500000000
101,25,10,dynamic,weighted_tardy_jobs,2.0000000000,2.0000000000,0.000000,124,124,221.9800000000,221.9800000000,61.1900000000,61.1900000000,2.0000000000,2.0000000000
102,25,10,dynamic,weighted_tardy_jobs,4.8800000000,4.8800000000,0.000000,131,131,331.3300000000,331.3300000000,77.7100000000,77.7100000000,4.8800000000,4.8800000000
103,25,10,dynamic,weighted_tardy_jobs,2.0600000000,2.0600000000,0.000000,116,116,296.0600000000,296.0600000000,42.9000000000,42.9000000000,2.0600000000,2.0600000000
104,25,10,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,68,68,116.9000000000,116.9000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
105,25,10,dynamic,weighted_tardy_jobs,0.7000000000,0.7000000000,0.000000,97,97,256.6800000000,256.6800000000,2.8000000000,2.8000000000,0.7000000000,0.7000000000
106,25,10,dynamic,weighted_tardy_jobs,0.3700000000,0.3700000000,0.000000,85,85,157.2300000000,157.2300000000,5.1800000000,5.1800000000,0.3700000000,0.3700000000
107,25,10,dynamic,weighted_tardy_jobs,1.3100000000,1.3100000000,0.000000,162,162,270.5400000000,270.5400000000,28.6900000000,28.6900000000,1.3100000000,1.3100000000
108,25,10,dynamic,weighted_tardy_jobs,5.4900000000,5.4900000000,0.000000,95,95,215.2800000000,215.2800000000,99.2400000000,99.2400000000,5.4900000000,5.4900000000
109,25,10,dynamic,weighted_tardy_jobs,1.9100000000,1.9100000000,0.000000,75,75,117.1000000000,117.1000000000,5.7800000000,5.7800000000,1.9100000000,1.9100000000
110,50,10,dynamic,weighted_tardy_jobs,2.2400000000,2.5500000000,-13.839286,200,237,730.8300000000,773.3100000000,60.0600000000,78.0000000000,2.2400000000,2.5500000000
111,50,10,dynamic,weighted_tardy_jobs,0.1900000000,0.9500000000,-400.000000,201,180,618.6100000000,644.6400000000,2.8500000000,7.6000000000,0.1900000000,0.9500000000
112,50,10,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,187,187,941.3100000000,941.3100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
113,50,10,dynamic,weighted_tardy_jobs,0.2600000000,0.2600000000,0.000000,189,189,527.2100000000,527.2100000000,1.3000000000,1.3000000000,0.2600000000,0.2600000000
114,50,10,dynamic,weighted_tardy_jobs,0.4600000000,0.4600000000,0.000000,181,181,529.8500000000,529.8500000000,0.9200000000,0.9200000000,0.4600000000,0.4600000000
115,100,10,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,318,318,1488.4800000000,1488.4800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
116,100,10,dynamic,weighted_tardy_jobs,0.2800000000,0.2800000000,0.000000,326,326,1571.9300000000,1571.9300000000,0.8400000000,0.8400000000,0.2800000000,0.2800000000
117,100,10,dynamic,weighted_tardy_jobs,8.0100000000,6.4600000000,19.350811,310,344,1657.8900000000,1603.0200000000,215.7100000000,163.7000000000,8.0100000000,6.4600000000
118,100,10,dynamic,weighted_tardy_jobs,1.1300000000,1.1300000000,0.000000,358,358,1905.5400000000,1905.5400000000,36.0600000000,36.0600000000,1.1300000000,1.1300000000
119,100,10,dynamic,weighted_tardy_jobs,0.0000000000,0.0000000000,0.000000,338,338,1403.8500000000,1403.8500000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
