set_index,jobs,machines,mode,objective,minmin_value,aco_value,improvement_percent,set_runtime_ms,minmin_makespan,aco_makespan,minmin_weighted_flow,aco_weighted_flow,minmin_weighted_tardiness,aco_weighted_tardiness,minmin_weighted_tardy_jobs,aco_weighted_tardy_jobs
71,50,6,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,25.290,322,322,1057.1800000000,1057.1800000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
72,50,6,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,24.194,246,246,839.5700000000,839.5700000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
73,50,6,dynamic,weighted_tardiness,154.3400000000,175.9100000000,-13.975638,21.359,257,280,797.0900000000,1041.7200000000,154.3400000000,175.9100000000,4.6800000000,5.4900000000
74,50,6,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,20.208,307,307,1082.5000000000,1082.5000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
75,100,6,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,77.259,446,446,2327.4400000000,2327.4400000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
76,100,6,dynamic,weighted_tardiness,243.9000000000,247.7000000000,-1.558016,43.822,494,502,1700.5800000000,1918.8100000000,243.9000000000,247.7000000000,8.7200000000,7.7900000000
77,100,6,dynamic,weighted_tardiness,189.6800000000,164.9500000000,13.037748,46.860,464,513,1783.2800000000,1940.9300000000,189.6800000000,164.9500000000,8.7200000000,8.9100000000
78,100,6,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,42.023,514,514,1780.6600000000,1780.6600000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
79,100,6,dynamic,weighted_tardiness,927.9700000000,746.5100000000,19.554511,69.238,537,508,2153.1300000000,2299.5500000000,927.9700000000,746.5100000000,20.2100000000,20.2100000000
80,25,10,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,8.451,99,99,119.8100000000,119.8100000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
81,25,10,dynamic,weighted_tardiness,7.0300000000,7.0300000000,0.000000,8.923,141,141,147.4800000000,147.4800000000,7.0300000000,7.0300000000,0.1900000000,0.1900000000
82,25,10,dynamic,weighted_tardiness,49.8800000000,49.8800000000,0.000000,8.483,85,85,150.6700000000,150.6700000000,49.8800000000,49.8800000000,6.0600000000,6.0600000000
83,25,10,dynamic,weighted_tardiness,0.5400000000,0.5400000000,0.000000,8.444,97,97,229.6400000000,229.6400000000,0.5400000000,0.5400000000,0.5400000000,0.5400000000
84,25,10,dynamic,weighted_tardiness,133.0900000000,133.0900000000,0.000000,7.713,122,122,290.9900000000,290.9900000000,133.0900000000,133.0900000000,4.5800000000,4.5800000000
85,25,10,dynamic,weighted_tardiness,37.2000000000,37.2000000000,0.000000,8.866,138,138,333.3500000000,333.3500000000,37.2000000000,37.2000000000,1.2000000000,1.2000000000
86,25,10,dynamic,weighted_tardiness,108.8600000000,108.8600000000,0.000000,8.362,171,171,425.7800000000,425.7800000000,108.8600000000,108.8600000000,2.0200000000,2.0200000000
87,25,10,dynamic,weighted_tardiness,250.0900000000,250.0900000000,0.000000,8.348,130,130,447.5700000000,447.5700000000,250.0900000000,250.0900000000,9.1500000000,9.1500000000
88,25,10,dynamic,weighted_tardiness,29.6500000000,29.6500000000,0.000000,8.267,122,122,274.1400000000,274.1400000000,29.6500000000,29.6500000000,2.3800000000,2.3800000000
89,25,10,dynamic,weighted_tardiness,0.0000000000,0.0000000000,0.000000,8.465,91,91,135.3200000000,135.3200000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
